MF,P1,P2,P3,P4,P5,P8,P9,P10,P11,P12,P13,P14,P15,P17,P18,P19,P20,Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q17,Q18,Q19,Q20
_713,-0.160361154,-1.459510783,-1.263264615,-1.235790152,-1.459510783,-0.454730405,-0.466505175,0.192881948,-1.459510783,-0.364457168,-0.749099657,-0.972820288,0.169332407,-1.459510783,-0.560703336,0.236056104,0.349878882,0.765920757,0.934692461,0.824794607,1.048515238,0.922917691,1.103464165,0.813019837,0.813019837,-0.513604256,1.252611252,1.338959566,1.099539241,1.327184796,1.111314011,1.295785409,-0.450805482,-1.459510783,-1.110192605
_2919,-1.599532249,0.457640174,-0.814715024,0.374401984,-1.409273528,-0.779041514,0.707354746,-0.303394711,-0.16070067,-0.529326942,-0.945517895,-1.397382358,-1.920593841,-1.397382358,-0.755259174,-0.612565133,0.421966664,1.42082495,0.493313684,1.39704261,0.624116555,0.588443045,0.445749004,1.064089848,-1.337926508,-0.600673963,0.279272623,1.147328039,2.146186325,0.136578582,1.111654528,0.421966664,0.493313684,-0.24393886,1.075981018
_181,-0.847816722,-0.193797688,-0.692740044,-1.090545436,-0.699482508,-1.225394722,-0.692740044,-0.712967437,-0.11963058,-0.948953687,-1.299561829,-0.928726294,-1.771534328,0.035446098,0.453478883,0.770374704,0.062415955,1.289544454,0.224235098,0.500676133,-0.423041473,0.682722669,-0.470238723,0.918708918,-0.288192187,0.055673491,0.116355669,0.595070633,3.662891879,1.289544454,1.100755454,0.595070633,0.52764599,-0.133115509,-0.342131902
_885,-0.111445218,-1.61012533,-1.61012533,-1.219844051,-1.61012533,0.053588009,-0.046770034,-0.013317353,-0.325542377,-0.037849319,-1.498616393,-1.61012533,-0.742585801,-0.120365933,-0.167199686,0.149485695,-0.682370975,1.199899881,1.364933108,1.104002195,1.309178639,1.193209345,0.718181273,1.222201668,0.869833428,-0.530718821,0.880984321,0.854222176,0.927818075,0.909976645,0.934508611,0.81184878,-0.798340269,-1.61012533,-0.158278971
_341,-0.906294958,-0.906294958,-0.459038977,-0.906294958,-0.761081977,-0.906294958,-0.906294958,0.39771761,-0.906294958,-0.569400842,-0.906294958,-0.906294958,-0.906294958,-0.906294958,0.049206456,-0.906294958,0.368675013,1.457772369,2.070571148,1.67559184,1.75691111,1.971826321,0.749133023,1.437442552,0.598111523,-0.906294958,-0.148283198,0.9233886,-0.906294958,0.551643369,0.76946284,0.17118536,-0.906294958,0.008546821,-0.331251554
_6037,1.306586001,1.130455975,1.001110487,1.777183414,0.987350329,0.943317822,1.378138824,0.296590383,-0.055669669,0.610321992,0.423183839,1.240537241,1.268057558,-1.095937635,-1.095937635,-0.292344391,1.116695817,-1.095937635,-0.958336052,0.753427638,0.046155502,-1.095937635,0.651602467,-1.095937635,-1.095937635,-1.095937635,-1.095937635,-1.095937635,-0.105206239,0.651602467,-1.095937635,-1.095937635,-1.095937635,-1.095937635,0.076427851
_740,-0.519618104,-0.805895146,-0.390954265,-0.674014711,-0.25907383,-0.423120225,-0.095027435,-0.32340575,-1.481380302,-0.085377648,-1.677592656,-1.838422455,-0.645065348,-0.082161052,-0.387737669,0.00468704,-0.561433852,1.291325431,1.545436513,1.120845844,1.41998927,1.300975219,0.670522407,1.275242451,0.786319862,-1.838422455,0.869951358,0.889250934,0.754153903,0.86030157,0.931066681,0.702688367,-0.333055538,-1.838422455,-0.162575951
_881,-0.725972915,-0.466365743,-0.076954983,-0.552901467,-0.650254157,-0.855776502,0.442259362,-1.158651537,0.139384327,-0.834142571,-1.201919399,-1.667048917,-0.780057743,-1.53724533,0.106933431,-0.163490708,-0.487999674,0.290821845,1.880915778,1.329250536,-0.314928225,-0.066138018,0.0852995,2.270326537,-0.552901467,-0.704338984,0.874937983,0.864121018,1.394152329,0.128567362,-0.455548777,0.701866535,1.935000606,-0.682705053,1.491505019
_6238,-0.914240612,-0.914240612,-0.914240612,-0.914240612,-0.914240612,-0.362409686,-0.346865153,-0.385726486,-0.914240612,-0.914240612,-0.269142488,-0.914240612,-0.914240612,-0.914240612,-0.525627284,-0.33132062,-0.447904619,1.557340154,2.132487879,1.285310824,1.83714175,1.689468685,0.399272436,1.58842922,0.749024432,-0.914240612,0.780113498,0.710163099,0.632440433,0.702390832,0.974420162,0.430361503,-0.914240612,-0.914240612,-0.914240612
_6328,-1.138592537,-1.361178985,-1.361178985,-0.662361067,-0.390598544,-0.25083496,-0.323304967,0.03645685,-0.530362127,0.145161859,-1.361178985,-1.361178985,-1.361178985,0.101162213,-0.028248513,0.080456497,-1.058357887,0.862097278,1.102801228,0.727510124,0.975978717,0.911273354,1.123506944,0.831038704,1.128683373,-1.361178985,1.283976243,1.302093745,1.141624445,1.206329808,1.107977657,1.089860155,-1.231768259,-1.361178985,-0.01530744
